ministry_name
สำนักนายกรัฐมนตรี
กลาโหม
การคลัง
การต่างประเทศ
ต่างประเทศ
พัฒนาสังคมและความมั่นคงของมนุษย์
การพัฒนาสังคมและความมั่นคงของมนุษย์
เกษตรและสหกรณ์
ทรัพยากรธรรมชาติและสิ่งแวดล้อม
ดิจิทัลเพื่อเศรษฐกิจและสังคม
พลังงาน
พาณิชย์
มหาดไทย
ยุติธรรม
แรงงาน
อุดมศึกษา
อุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม
ศึกษาธิการ
สาธารณสุข
อุตสาหกรรม
